Epoch,Num trials,Number correct,Time
0,1077,135,130.1685742624104
1,1077,364,130.5514714717865
2,1077,538,130.50326349958777
3,1077,650,130.49408867023885
4,1077,683,130.785538604483
5,1077,702,130.64910353906453
6,1077,748,130.73654484935105
7,1077,771,130.68523070961237
8,1077,787,130.60766332410276
9,1077,787,130.59100987948477
10,1077,805,130.58964795991778
11,1077,824,130.62156051956117
12,1077,835,130.8547691218555
13,1077,845,130.77480302378535
14,1077,837,130.7458996772766
15,1077,847,130.64896247163415
16,1077,858,130.33749699406326
17,1077,868,130.3955071568489
18,1077,866,130.59474452398717
19,1077,875,130.54315773770213
20,1077,875,130.66722224652767
21,1077,884,130.85970697551966
22,1077,897,130.63126197829843
23,1077,896,130.45339286327362
24,1077,898,130.59828081727028
25,1077,909,130.60430155694485
26,1077,912,130.67957612127066
27,1077,915,130.99237917922437
28,1077,917,132.6482588481158
29,1077,922,131.7878056485206
30,1077,924,130.9564335681498
31,1077,929,131.7764275278896
32,1077,928,130.76463676802814
33,1077,930,131.0650600772351
34,1077,939,131.00989501550794
35,1077,940,130.94912215694785
36,1077,947,130.91772081144154
37,1077,951,130.8656497001648
38,1077,951,130.71851512417197
39,1077,956,130.94727941974998
40,1077,969,130.68722278997302
41,1077,969,130.89271129108965
42,1077,973,130.8618339691311
43,1077,976,130.87032457999885
44,1077,978,130.9353185594082
45,1077,979,130.814419105649
46,1077,987,130.8281400706619
47,1077,990,130.9201470799744
48,1077,991,130.84604293107986
49,1077,993,130.7044697534293
50,1077,992,130.79498230852187
51,1077,994,130.84852416999638
52,1077,997,130.91292387992144
53,1077,1000,130.84556647203863
54,1077,1003,130.8387310281396
55,1077,1004,130.83815837465227
56,1077,1002,130.73125520721078
57,1077,1007,130.83544721454382
58,1077,1009,130.86457909829915
59,1077,1015,131.12660328671336
60,1077,1013,131.07799980416894
61,1077,1012,131.3126919902861
62,1077,1014,131.31363842450082
63,1077,1015,130.77991789206862
64,1077,1017,130.76894164085388
65,1077,1018,131.0377734079957
66,1077,1018,130.7735943067819
67,1077,1017,130.76016164943576
68,1077,1017,130.7384423520416
69,1077,1023,130.6551075167954
70,1077,1024,130.84412219934165
71,1077,1022,130.8712864909321
72,1077,1024,130.79338054545224
73,1077,1027,130.88292342424393
74,1077,1025,130.77858796902
75,1077,1027,130.90781397931278
76,1077,1028,130.8081815354526
77,1077,1033,130.9016868211329
78,1077,1033,131.01524490118027
79,1077,1034,130.88785590417683
80,1077,1034,130.76804954744875
81,1077,1037,130.7966227028519
82,1077,1038,130.86003940738738
83,1077,1038,130.99522997811437
84,1077,1037,130.67242422699928
85,1077,1041,130.81296075694263
86,1077,1043,130.65637770481408
87,1077,1041,130.759431168437
88,1077,1042,130.8832617830485
89,1077,1044,130.88073457963765
90,1077,1044,130.7977300081402
91,1077,1045,130.85321784205735
92,1077,1044,131.79412385635078
93,1077,1048,130.95500874519348
94,1077,1046,130.9466865826398
95,1077,1044,130.84155547991395
96,1077,1047,131.16824191622436
97,1077,1049,131.0534338708967
98,1077,1048,130.86819857731462
99,1077,1048,130.98019310459495
